participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.request,group.id_in_subsession,group.total_requests,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
2,v8b750ka,,0,9,8,bargaining,Results,2023-11-19 12:29:28.039508,1,,,55.0,2,,0.0,55.0,1,110.0,2,stkrqvmp,,,,,1
1,zotfbpot,,0,9,8,bargaining,Results,2023-11-19 12:29:47.214188,1,,,0.0,1,,0.0,55.0,1,110.0,1,0xi6srhr,,,,,1
2,layr7uvx,,0,9,8,bargaining,Results,2023-11-19 12:29:47.217920,1,,,0.0,2,,0.0,55.0,1,110.0,1,0xi6srhr,,,,,1
1,zotfbpot,,0,9,8,bargaining,Results,2023-11-19 12:29:47.214188,1,,,0.0,1,,0.0,55.0,1,115.0,2,0xi6srhr,,,,,1
2,layr7uvx,,0,9,8,bargaining,Results,2023-11-19 12:29:47.217920,1,,,0.0,2,,0.0,60.0,1,115.0,2,0xi6srhr,,,,,1
1,sbzq2019,,0,9,8,bargaining,Results,2023-11-19 12:30:37.737447,1,,,100.0,1,,55.0,55.0,1,100.0,1,ttvmgvj4,,,,,1
2,ejmyhp5g,,0,9,8,bargaining,Results,2023-11-19 12:30:37.742768,1,,,100.0,2,,45.0,45.0,1,100.0,1,ttvmgvj4,,,,,1
1,sbzq2019,,0,9,8,bargaining,Results,2023-11-19 12:30:37.737447,1,,,100.0,1,,45.0,45.0,1,100.0,2,ttvmgvj4,,,,,1
2,ejmyhp5g,,0,9,8,bargaining,Results,2023-11-19 12:30:37.742768,1,,,100.0,2,,55.0,55.0,1,100.0,2,ttvmgvj4,,,,,1
1,beun7fa7,,0,9,8,bargaining,Results,2023-11-19 12:30:57.104684,1,,,50.0,1,,0.0,60.0,1,110.0,1,c3bjszkh,,,,,1
2,sur3sozd,,0,9,8,bargaining,Results,2023-11-19 12:30:57.113404,1,,,50.0,2,,0.0,50.0,1,110.0,1,c3bjszkh,,,,,1
1,beun7fa7,,0,9,8,bargaining,Results,2023-11-19 12:30:57.104684,1,,,50.0,1,,50.0,50.0,1,100.0,2,c3bjszkh,,,,,1
2,sur3sozd,,0,9,8,bargaining,Results,2023-11-19 12:30:57.113404,1,,,50.0,2,,50.0,50.0,1,100.0,2,c3bjszkh,,,,,1
1,x8b30196,,0,9,8,bargaining,Results,2023-11-19 12:31:16.656675,1,,,95.0,1,,45.0,45.0,1,90.0,1,s5279s5h,,,,,1
2,7m9wj4r1,,0,9,8,bargaining,Results,2023-11-19 12:31:16.660418,1,,,95.0,2,,45.0,45.0,1,90.0,1,s5279s5h,,,,,1
1,x8b30196,,0,9,8,bargaining,Results,2023-11-19 12:31:16.656675,1,,,95.0,1,,50.0,50.0,1,100.0,2,s5279s5h,,,,,1
2,7m9wj4r1,,0,9,8,bargaining,Results,2023-11-19 12:31:16.660418,1,,,95.0,2,,50.0,50.0,1,100.0,2,s5279s5h,,,,,1
1,vag9iw3j,,0,9,8,bargaining,Results,2023-11-19 12:31:35.397413,1,,,50.0,1,,0.0,60.0,1,120.0,1,pil9kaj5,,,,,1
2,6x9ac3ld,,0,9,8,bargaining,Results,2023-11-19 12:31:35.402396,1,,,45.0,2,,0.0,60.0,1,120.0,1,pil9kaj5,,,,,1
1,vag9iw3j,,0,9,8,bargaining,Results,2023-11-19 12:31:35.397413,1,,,50.0,1,,50.0,50.0,1,95.0,2,pil9kaj5,,,,,1
2,6x9ac3ld,,0,9,8,bargaining,Results,2023-11-19 12:31:35.402396,1,,,45.0,2,,45.0,45.0,1,95.0,2,pil9kaj5,,,,,1
1,mrjr38hw,,0,9,8,bargaining,Results,2023-11-19 12:31:56.684441,1,,,95.0,1,,45.0,45.0,1,90.0,1,agfiq0fh,,,,,1
2,yschnd7v,,0,9,8,bargaining,Results,2023-11-19 12:31:56.688138,1,,,95.0,2,,45.0,45.0,1,90.0,1,agfiq0fh,,,,,1
1,mrjr38hw,,0,9,8,bargaining,Results,2023-11-19 12:31:56.684441,1,,,95.0,1,,50.0,50.0,1,100.0,2,agfiq0fh,,,,,1
2,yschnd7v,,0,9,8,bargaining,Results,2023-11-19 12:31:56.688138,1,,,95.0,2,,50.0,50.0,1,100.0,2,agfiq0fh,,,,,1
1,hxarrv8x,,0,9,8,bargaining,Results,2023-11-19 12:32:22.229962,1,,,50.0,1,,50.0,50.0,1,100.0,1,9shvw1e0,,,,,1
2,vbe1n6t6,,0,9,8,bargaining,Results,2023-11-19 12:32:22.233847,1,,,50.0,2,,50.0,50.0,1,100.0,1,9shvw1e0,,,,,1
1,hxarrv8x,,0,9,8,bargaining,Results,2023-11-19 12:32:22.229962,1,,,50.0,1,,0.0,65.0,1,115.0,2,9shvw1e0,,,,,1
2,vbe1n6t6,,0,9,8,bargaining,Results,2023-11-19 12:32:22.233847,1,,,50.0,2,,0.0,50.0,1,115.0,2,9shvw1e0,,,,,1
1,khx8y756,,0,0,8,,,,0,,,0.0,1,,0.0,,1,,1,1opt69xl,,,,,1
2,7gy9x5vk,,0,0,8,,,,0,,,0.0,2,,0.0,,1,,1,1opt69xl,,,,,1
1,khx8y756,,0,0,8,,,,0,,,0.0,1,,0.0,,1,,2,1opt69xl,,,,,1
2,7gy9x5vk,,0,0,8,,,,0,,,0.0,2,,0.0,,1,,2,1opt69xl,,,,,1
1,ckpa5r6g,,0,9,8,bargaining,Results,2023-11-19 12:32:42.379504,1,,,45.0,1,,45.0,45.0,1,95.0,1,s6lzqydk,,,,,1
2,jcrni45t,,0,9,8,bargaining,Results,2023-11-19 12:32:42.385956,1,,,50.0,2,,50.0,50.0,1,95.0,1,s6lzqydk,,,,,1
1,ckpa5r6g,,0,9,8,bargaining,Results,2023-11-19 12:32:42.379504,1,,,45.0,1,,0.0,60.0,1,105.0,2,s6lzqydk,,,,,1
2,jcrni45t,,0,9,8,bargaining,Results,2023-11-19 12:32:42.385956,1,,,50.0,2,,0.0,45.0,1,105.0,2,s6lzqydk,,,,,1
