participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.request,group.id_in_subsession,group.total_requests,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,rre04ga1,,0,9,8,bargaining2,Results,2023-11-19 12:12:53.958792,1,,,-10.0,1,,40.0,40.0,1,90.0,2,ff5lxavk,,,,,1
2,2827wkoa,,0,9,8,bargaining2,Results,2023-11-19 12:12:53.965245,1,,,0.0,2,,50.0,50.0,1,90.0,2,ff5lxavk,,,,,1
1,yj6xiqac,,0,9,8,bargaining2,Results,2023-11-19 12:13:19.734421,1,,,0.0,1,,-50.0,60.0,1,110.0,1,mdobqr3o,,,,,1
2,h6jrc1ul,,0,9,8,bargaining2,Results,2023-11-19 12:13:19.740148,1,,,0.0,2,,-50.0,50.0,1,110.0,1,mdobqr3o,,,,,1
1,yj6xiqac,,0,9,8,bargaining2,Results,2023-11-19 12:13:19.734421,1,,,0.0,1,,50.0,50.0,1,100.0,2,mdobqr3o,,,,,1
2,h6jrc1ul,,0,9,8,bargaining2,Results,2023-11-19 12:13:19.740148,1,,,0.0,2,,50.0,50.0,1,100.0,2,mdobqr3o,,,,,1
1,sov57ygg,,0,9,8,bargaining2,Results,2023-11-19 12:13:42.226810,1,,,100.0,1,,60.0,60.0,1,100.0,1,ftw574ky,,,,,1
2,bwe1ydy5,,0,9,8,bargaining2,Results,2023-11-19 12:13:42.233329,1,,,100.0,2,,40.0,40.0,1,100.0,1,ftw574ky,,,,,1
1,sov57ygg,,0,9,8,bargaining2,Results,2023-11-19 12:13:42.226810,1,,,100.0,1,,40.0,40.0,1,100.0,2,ftw574ky,,,,,1
2,bwe1ydy5,,0,9,8,bargaining2,Results,2023-11-19 12:13:42.233329,1,,,100.0,2,,60.0,60.0,1,100.0,2,ftw574ky,,,,,1
1,8bo2i0j8,,0,9,8,bargaining2,Results,2023-11-19 12:14:53.683792,1,,,-100.0,1,,-50.0,60.0,1,115.0,1,d4jkcaq0,,,,,1
2,d2dhynhb,,0,9,8,bargaining2,Results,2023-11-19 12:14:53.687976,1,,,-100.0,2,,-50.0,55.0,1,115.0,1,d4jkcaq0,,,,,1
1,8bo2i0j8,,0,9,8,bargaining2,Results,2023-11-19 12:14:53.683792,1,,,-100.0,1,,-50.0,70.0,1,170.0,2,d4jkcaq0,,,,,1
2,d2dhynhb,,0,9,8,bargaining2,Results,2023-11-19 12:14:53.687976,1,,,-100.0,2,,-50.0,100.0,1,170.0,2,d4jkcaq0,,,,,1
1,n874rnp5,,0,9,8,bargaining2,Results,2023-11-19 12:16:23.834911,1,,,95.0,1,,45.0,45.0,1,95.0,1,9i8oma88,,,,,1
2,c4drv64b,,0,9,8,bargaining2,Results,2023-11-19 12:16:23.840986,1,,,100.0,2,,50.0,50.0,1,95.0,1,9i8oma88,,,,,1
1,n874rnp5,,0,9,8,bargaining2,Results,2023-11-19 12:16:23.834911,1,,,95.0,1,,50.0,50.0,1,100.0,2,9i8oma88,,,,,1
2,c4drv64b,,0,9,8,bargaining2,Results,2023-11-19 12:16:23.840986,1,,,100.0,2,,50.0,50.0,1,100.0,2,9i8oma88,,,,,1
1,kkyz1fhm,,0,9,8,bargaining2,Results,2023-11-19 12:17:22.271604,1,,,-20.0,1,,30.0,30.0,1,80.0,1,b2546i3z,,,,,1
2,abw6puwl,,0,9,8,bargaining2,Results,2023-11-19 12:17:22.274953,1,,,0.0,2,,50.0,50.0,1,80.0,1,b2546i3z,,,,,1
1,kkyz1fhm,,0,9,8,bargaining2,Results,2023-11-19 12:17:22.271604,1,,,-20.0,1,,-50.0,50.0,1,110.0,2,b2546i3z,,,,,1
2,abw6puwl,,0,9,8,bargaining2,Results,2023-11-19 12:17:22.274953,1,,,0.0,2,,-50.0,60.0,1,110.0,2,b2546i3z,,,,,1
1,2am651mu,,0,9,8,bargaining2,Results,2023-11-19 12:17:51.528874,1,,,-5.0,1,,45.0,45.0,1,95.0,1,mxfx828z,,,,,1
2,btgfm1od,,0,9,8,bargaining2,Results,2023-11-19 12:17:51.533956,1,,,0.0,2,,50.0,50.0,1,95.0,1,mxfx828z,,,,,1
1,2am651mu,,0,9,8,bargaining2,Results,2023-11-19 12:17:51.528874,1,,,-5.0,1,,-50.0,50.0,1,110.0,2,mxfx828z,,,,,1
2,btgfm1od,,0,9,8,bargaining2,Results,2023-11-19 12:17:51.533956,1,,,0.0,2,,-50.0,60.0,1,110.0,2,mxfx828z,,,,,1
1,8gkl2359,,0,9,8,bargaining2,Results,2023-11-19 12:18:32.500641,1,,,-5.0,1,,45.0,45.0,1,100.0,1,riso78ft,,,,,1
2,qkkcep5c,,0,9,8,bargaining2,Results,2023-11-19 12:18:32.504533,1,,,5.0,2,,55.0,55.0,1,100.0,1,riso78ft,,,,,1
1,8gkl2359,,0,9,8,bargaining2,Results,2023-11-19 12:18:32.500641,1,,,-5.0,1,,-50.0,70.0,1,120.0,2,riso78ft,,,,,1
2,qkkcep5c,,0,9,8,bargaining2,Results,2023-11-19 12:18:32.504533,1,,,5.0,2,,-50.0,50.0,1,120.0,2,riso78ft,,,,,1
1,4r60opmq,,0,9,8,bargaining2,Results,2023-11-19 12:19:13.503302,1,,,-5.0,1,,45.0,45.0,1,85.0,1,9548d6ec,,,,,1
2,kcqx0dy3,,0,9,8,bargaining2,Results,2023-11-19 12:19:13.507395,1,,,-10.0,2,,40.0,40.0,1,85.0,1,9548d6ec,,,,,1
1,4r60opmq,,0,9,8,bargaining2,Results,2023-11-19 12:19:13.503302,1,,,-5.0,1,,-50.0,50.0,1,130.0,2,9548d6ec,,,,,1
2,kcqx0dy3,,0,9,8,bargaining2,Results,2023-11-19 12:19:13.507395,1,,,-10.0,2,,-50.0,80.0,1,130.0,2,9548d6ec,,,,,1
1,ijpyp87f,,0,9,8,bargaining2,Results,2023-11-19 12:19:42.508884,1,,,95.0,1,,35.0,35.0,1,90.0,1,jh1f5k2q,,,,,1
2,x8si6ijj,,0,9,8,bargaining2,Results,2023-11-19 12:19:42.512624,1,,,95.0,2,,55.0,55.0,1,90.0,1,jh1f5k2q,,,,,1
1,ijpyp87f,,0,9,8,bargaining2,Results,2023-11-19 12:19:42.508884,1,,,95.0,1,,60.0,60.0,1,100.0,2,jh1f5k2q,,,,,1
2,x8si6ijj,,0,9,8,bargaining2,Results,2023-11-19 12:19:42.512624,1,,,95.0,2,,40.0,40.0,1,100.0,2,jh1f5k2q,,,,,1
